ranking,world_rank,universities,website,presence_rank,impact_rank,openness_rank,excellence_rank,motto,established,type,chancellor,vice_chancellor,students,undergraduates,postgraduates,academic_staff,administrative_staff,city,state,campus
11,3130,University of Benin,https://uniben.edu/,8198,5651,2013,3495,Knowledge for Service,1970,[[Public university|Public]] [[research university]],[[Sanusi Lamido Sanusi]],[[Lilian Salami|Prof. Lilian Imuetinyan Salami]],"77,000 (estimate)",,,,,[[Benin City]],[[Edo State]],Ugbowo Campus and Ekehuan Campus
12,3157,Federal University of Technology Minna,http://www.futminna.edu.ng/,3807,8470,1811,2997,Technology for Empowerment,{{start date and age|1983}},Public,HRM Oba [[Aladetoyinbo Ogunlade Aladelusi]],Prof. [[Abdullahi Bala]] fnsss,,13000,2000,,,Bosso [[Minna]]. Main campus: along Minna-Bida Road,[[Niger State]],Main (Gidan Kwano) and Mini (Bosso) Campuses
13,3388,Ladoke Akintola University of Technology,http://www.lautech.edu.ng/,4152,9574,1636,3220,"Excellence, Integrity and Service","April 23, 1990 ( {{years ago|1990|4|23}} years ago)",university of technology,Umar Faruq Umar II,M.O Liasu (acting),"25,000",,,,"3,000",Ogbomoso,Oyo State,Ogbomoso North
14,3452,Rivers State University of Science & Technology,http://www.rsu.edu.ng/,4019,515,7356,4882,Excellence & Creativity,1972 as [[University college]]<br/>1980 as [[University]],[[Public university|Public]],"Sidi M. Bage CON, JSC (rtd)",Prof Nlerum Sunday Okogbule,,,,,"3,000",[[Port Harcourt]],,[[urban area|Urban]]
15,3510,University of Calabar,https://www.unical.edu.ng/,13302,9236,1337,3438,Knowledge for Service,{{Start date and age|1975}},[[Public university|Public]],,[[Florence Banku Obi|Florence B. Obi]],,,,,,[[Calabar]],[[Cross River State]],[[City]]
16,3520,Bayero University Kano,http://www.buk.edu.ng/,14203,9489,2316,3122,"""وفوق كل ذي علم عليم""",4 October 1962,"[[Public University|Public]], [[Research university|research]]",,Professor [[Sagir Adamu Abbas]],,,,,,[[Kano (city)|Kano]],[[Kano State]],[[urban area|Urban]]
17,3624,Lagos State University,https://www.lasu.edu.ng/,10104,9249,2600,3382,''Per la verità e di servizio'' ([[Latin]]),1983,[[public university|Public]],"Gbolahan Elias,SAN",[[Ibiyemi Olatunji-Bello]],"35,000",,,,,"[[Ojo, Lagos State|Ojo]]",[[Lagos State]],
18,3664,University of Jos,http://www.unijos.edu.ng/,2323,7783,2980,3926,''Discipline and Dedication'',1975,Public,[[Ahmed Nuhu Bamalli]] (Emir Of Zazzau),Tanko Ishaya,"41,000+",,,,,[[Jos]],[[Plateau State]],Urban
19,3701,Federal University of Technology Owerri,https://futo.edu.ng/,4410,6704,2230,4274,Technology For Service,1980,[[Public university|Public]],,Professor Nnenna Nnannaya Oti,,,,,,"[[Owerri, Imo State]]",,Urban
20,3718,University of Uyo,http://uniuyo.edu.ng/,23325,9689,2258,3238,"''Unity, Learning and Service''",1991,[[Public university|Public]],"Adamu Maje, Emir of [[Hadejia]]",Professor Nyaudoh Ndaeyo,,"25,676","3,334","1,521","4,128",{{flagicon|Nigeria}} [[Uyo]],[[Akwa Ibom State|Akwa-Ibom State]],[[City]]
21,3803,Nnamdi Azikiwe University,http://unizik.edu.ng/,11826,9274,1705,3886,"Discipline, Self Reliance and Excellence",1991,[[Public university|Public]],Da [[Jacob Gyang Buba]] (Gbong Gwong Jos),[[Charles Esimone]] (from 4 June 2019),,,,,,[[Awka]],,[[urban area|Urban]]
22,3871,Olabisi Onabanjo University (Ogun State University),https://oouagoiwoye.edu.ng/,3281,8838,3235,3926,Excellentia Humana et Patriae opus,1982,State-owned University,,[[Olatunji olatunde|Professor Ganiyu Olatunji Olatunde]],50000,,,,,Ago-Iwoye,[[Ogun State|Ogun]],
23,4020,University of Agriculture Abeokuta,https://unaab.edu.ng/,3464,6876,7356,3092,''Knowledge For Development.'',1 January 1988,[[Public university|Public]] [[research university]],,Professor Felix Salako,"2,538","15,095","1,640",529,"1,447","[[Abeokuta, Ogun State]]",,Rural
24,4077,University of Abuja,http://www.uniabuja.edu.ng/,17690,10697,3046,3566,''For Unity and Scholarship.'',"{{start date and age|January 1, 1988}}",[[Public university|Public]],,[[Abdul Rasheed Na'Allah]],,,,,,[[Abuja]],,Rural
25,4132,University of Maiduguri,http://www.unimaid.edu.ng/,15855,10563,2694,3797,''knowledge is light'',1975,[[Public University|Public]],[[Lamidi Adeyemi III|Oba Lamidi Olayiwola Adeyemi]],Professor [[Aliyu Shugaba]],,,,,,[[Maiduguri]],[[Borno State|Borno]],[[urban area|Urban]]
26,4200,Usmanu Danfodiyo University,http://www.udusok.edu.ng/,6792,11008,3146,3886,The most peaceful university in Nigeria,1975,[[Public university|Public]],"[[Rilwan Akiolu]], [[Oba of Lagos]]",[[Lawal Bilbis|Lawal Suleiman Bilbis]],,,,,,"[[Sokoto, Sokoto State]]",,Urban (main campus)
27,4514,Abubakar Tafawa Balewa University,http://www.atbu.edu.ng/,2661,10761,3487,4454,"""Doctrina mater artium"" <br />(''Education is the mother of all practical arts'')",1980,[[Public university|Public]],[[Rufus Aladesanmi III|Rufus Adeyemo Adejugbe Aladesanmi III]] ([[Ewi of Ado-Ekiti]]),Professor [[Muhammad A. AbdulAzeez]],,"10,000",200,,1000,[[Bauchi]],[[Bauchi State]],[[urban area|Urban]]
28,5001,Ebonyi State University,http://www.ebsu.edu.ng/,21081,14163,4450,3839,,1999,,,Chigozie Ogbu,,,,,,"[[Abakaliki, Ebonyi]]",,"CAS, Presco, Ishieke, Perm Site"
29,5400,Federal University of Petroleum Resources Effurun,https://www.fupre.edu.ng/,18801,12367,4788,4534,Excellence and Relevance,March 2007,,"H.R.H. Alhaji Attahiru Mohammad Ahmad CON, Emir of [[Zamfara]]",Professor [[Akpofure Rim-Rukeh]],,,,,,[[Ugbomoro]],[[Delta State|Delta]],Rural
30,5484,Benue State University,http://www.bsum.edu.ng/,4508,11645,4937,4882,Scientia Liberatio Populurum,1992,[[public university|Public]],,Prof. Tor Iorapuu,"32,000 (2015)",,,,,Makurdi,[[Benue State|Benue]],
31,5661,American University of Nigeria,https://www.aun.edu.ng/,5640,9893,4398,5341,,2004,[[Private school|Private]],,,,,,,,"[[Yola, Nigeria|Yola]]",[[Adamawa State|Adamawa]],[[Rural area|Rural]]
32,5664,Federal University Oye Ekiti Ekiti State,http://www.fuoye.edu.ng/,5163,7052,2771,6084,INNOVATION AND CHARACTER FOR NATIONAL TRANSFORMATION,2011,[[public university|Public]],"[[Michael Idakwo Ameh Oboni]], [[The Attah of Igala Kingdom.]]",{{ubl|[[Chinedu Ostadinma Nebo]]|[[Kayode Soremekun]] (2016-2021)|[[A.S Fasina]] (2021-)}},"about 26,000","23,500","1,500",,,"Aare Afao Road, [[Oye-Ekiti]]",[[Ekiti State|Ekiti]],Oye Campus and Ikole Campus
33,5700,Niger Delta University,http://www.ndu.edu.ng/,18120,12922,4506,4673,"Creativity, Excellence and Service",2000,Urban (state government funded),"Shehu of Borno, Dr Abubakar Ibn Umar Garbai El-kanemi",[[Samuel Edoumiekumo|Prof. Samuel G. Edoumiekumo]],"About 16,000",,,,,"Wilberforce Island, Amassoma, PMB 071",[[Bayelsa State]],Amassoma and Yenagoa
34,5754,Federal University of Agriculture Makurdi,http://uam.edu.ng/,11533,11860,4986,4882,,{{Start date|2007}},[[Private University|Private]],,,228,0,,,,[[Abuja]],,Urban
35,5825,African University of Science & Technology Abuja,http://aust.edu.ng/,5761,13408,6253,4454,,2018,Private,[[Sanusi Lamido Sanusi]],Dr. Ajith Kumar Vadakki Veetil,,,,,Abubakar Sadiq Ismail (DoP),[[Kano City]],[[Kano State]],[[Urban area|Urban]]
